run_id,label,goal_without_intention,step_without_intention,step_without_goal,intention_without_toolcall,missing_goal_intention_toolcall,missing_intention_toolcall_observation,missing_goal_intention_toolcall_observation,run_without_toolcall,run_without_toolcall_or_termination,null_observation_present,toolcall_without_observation,run_without_termination
aggregated_graph_std-001-stock-00002,completed_False,2.0,2,2,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-001-stock-00003,completed_False,1.0,2,2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-001-stock-00004,completed_False,3.0,4,4,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-001-stock-00005,completed_True,1.0,2,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
aggregated_graph_std-001-stock-00006,agent_invalid_action_False,2.0,2,2,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
aggregated_graph_std-002-environment-00000,completed_True,2.0,2,2,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-002-environment-00001,completed_True,2.0,3,3,9.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-002-environment-00002,completed_False,1.0,2,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
aggregated_graph_std-002-environment-00003,completed_True,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-002-environment-00004,completed_False,4.0,3,3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-003-ac-00000,completed_True,1.0,2,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-003-ac-00001,completed_True,2.0,2,2,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-003-ac-00002,completed_True,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-003-ac-00003,completed_True,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-003-ac-00004,completed_True,1.0,2,2,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-003-ac-00005,completed_False,1.0,5,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N11-00000,completed_False,1.0,2,2,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-004-N225-00000,completed_True,0.0,2,2,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-004-N37-00000,completed_True,2.0,2,2,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N4-00000,completed_True,2.0,4,4,22.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N41-00000,completed_True,2.0,2,2,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N41-00001,completed_False,2.0,2,2,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N41-00002,completed_True,2.0,2,2,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-N41-00003,completed_True,2.0,2,2,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q19-00000,completed_True,0.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q30-00000,completed_False,0.0,2,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q30-00001,completed_False,0.0,4,4,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-004-Q30-00002,completed_False,0.0,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-004-Q30-00003,completed_False,2.0,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q30-00004,completed_False,1.0,2,2,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q30-00005,completed_False,1.0,2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q47-00000,completed_True,2.0,3,3,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-004-Q49-00000,completed_True,2.0,2,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-004-Q49-00001,completed_True,2.0,2,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00000,agent_invalid_action_False,1.0,1,1,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_std-005-new-00001,completed_False,5.0,3,3,18.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00002,task_limit_reached_False,6.0,8,8,17.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
aggregated_graph_std-005-new-00003,completed_False,1.0,2,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00004,completed_False,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00005,completed_True,1.0,2,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00007,completed_True,1.0,3,3,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00008,completed_False,1.0,2,2,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-005-new-00009,completed_True,0.0,2,2,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-006-new-00000,completed_False,1.0,3,3,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
aggregated_graph_std-006-new-00001,completed_False,1.0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-006-new-00002,completed_False,5.0,5,5,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-006-new-00003,completed_True,0.0,3,3,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-006-new-00004,completed_True,2.0,2,2,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-006-new-00005,completed_False,5.0,7,7,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-006-new-00006,unknown_False,1.0,5,5,18.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
aggregated_graph_std-006-new-00007,completed_True,3.0,3,3,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-006-new-00008,completed_False,1.0,7,7,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00000,completed_False,4.0,4,4,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00001,completed_True,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00002,completed_False,3.0,4,4,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00003,completed_False,1.0,2,2,6.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00004,completed_False,1.0,2,2,17.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00005,completed_False,2.0,2,2,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00006,agent_invalid_action_False,3.0,2,2,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00007,completed_True,2.0,2,2,16.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00008,completed_False,1.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00009,agent_invalid_action_False,0.0,3,3,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00010,completed_False,2.0,2,2,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00011,completed_True,4.0,8,8,51.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00012,completed_False,5.0,5,5,13.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00013,completed_False,2.0,2,2,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00014,agent_invalid_action_False,2.0,3,3,6.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00015,completed_False,1.0,2,2,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00016,completed_False,2.0,4,4,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00017,completed_False,2.0,3,3,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00018,completed_False,4.0,5,5,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00019,completed_True,2.0,2,2,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00020,completed_True,2.0,2,2,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00021,completed_True,2.0,2,2,11.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00022,completed_False,2.0,2,2,18.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00023,completed_False,6.0,8,8,23.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00024,completed_False,7.0,5,5,16.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00025,completed_True,6.0,6,6,21.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00026,completed_False,3.0,3,3,10.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00027,completed_True,2.0,3,3,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00028,completed_True,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00029,agent_invalid_action_False,1.0,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00030,completed_False,1.0,2,2,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00031,completed_False,2.0,3,3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00032,completed_True,1.0,2,2,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00034,completed_True,11.0,3,3,13.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00036,completed_True,2.0,3,3,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00037,completed_True,3.0,3,3,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00038,completed_True,9.0,2,2,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00039,agent_invalid_action_False,1.0,2,2,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00040,completed_True,4.0,4,4,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00041,agent_invalid_action_False,1.0,1,1,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00044,unknown_False,2.0,4,4,12.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00045,completed_True,2.0,2,2,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00046,completed_True,2.0,2,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00047,completed_True,2.0,2,2,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00049,completed_True,3.0,5,5,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00052,completed_True,1.0,1,1,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00054,agent_invalid_action_False,1.0,1,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00057,completed_True,2.0,2,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00058,completed_False,1.0,2,2,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00059,completed_False,1.0,2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00060,completed_False,1.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00061,completed_False,3.0,5,5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
aggregated_graph_std-007-bootstrap-00064,completed_False,1.0,2,2,25.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00066,completed_False,3.0,6,6,8.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
aggregated_graph_std-007-bootstrap-00068,completed_False,2.0,2,2,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00069,completed_False,3.0,3,3,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00070,completed_False,3.0,5,5,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00071,completed_False,1.0,2,2,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00073,completed_False,1.0,3,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00074,completed_False,0.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00075,completed_False,3.0,6,6,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00076,agent_invalid_action_False,1.0,1,1,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00077,completed_False,2.0,2,2,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00078,agent_invalid_action_False,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00080,completed_False,2.0,2,2,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00081,completed_False,2.0,3,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00082,completed_True,1.0,2,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00083,agent_invalid_action_False,2.0,3,3,5.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
aggregated_graph_std-007-bootstrap-00085,completed_True,2.0,2,2,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
aggregated_graph_std-007-bootstrap-00087,completed_False,1.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
